wpi_number,name,lat,lon,type
17780.0,Mukilteo,47.95,-122.3,port
17760.0,Edwards Point,47.8,-122.4,port
17660.0,Olympia,47.05,-122.9,port
17430.0,Bremerton,47.566667,-122.65,port
17100.0,Neah Bay,48.366667,-124.616667,port
17090.0,La Push,47.9,-124.633333,port
17060.0,Aberdeen,46.983333,-123.816667,port
17000.0,Nahcotta,46.5,-124.033333,port
16900.0,Longview,46.133333,-122.933333,port
16850.0,Astoria,46.2,-123.833333,port
16820.0,Newport,44.633333,-124.05,port
16720.0,Bandon,43.116667,-124.416667,port
16700.0,Crescent City,41.75,-124.2,port
16670.0,Eureka,40.8,-124.183333,port
16660.0,Fields Landing,40.716667,-124.216667,port
5480.0,Grand Marais,47.75,-90.333333,port
5460.0,Duluth,46.766667,-92.1,port
5410.0,Bayfield,46.8,-90.816667,port
5390.0,Ashland,46.6,-90.866667,port
5280.0,Marquette,46.533333,-87.38333299999998,port
5260.0,Grand Marais,46.683333,-85.966667,port
5160.0,Michipicoten,47.966667,-84.9,port
4960.0,Kaukauna,44.283333,-88.266667,port
4950.0,Depere,44.45,-88.06666699999998,port
4890.0,Manitowoc,44.092222222,-87.64833333299998,port
4860.0,Milwaukee,43.033333,-87.88333299999998,port
4840.0,Kenosha,42.583333,-87.81666699999998,port
4800.0,Chicago,41.883333,-87.59999999999998,port
4790.0,Calumet Harbor,41.733333,-87.516667,port
4780.0,Indiana Harbor,41.666667,-87.433333,port
4760.0,Gary,41.616667,-87.33333299999998,port
4750.0,Michigan City,41.733333,-86.9,port
4710.0,Holland,42.783333,-86.13333299999998,port
4700.0,Grand Haven,43.066667,-86.233333,port
4690.0,Muskegon,43.233333,-86.266667,port
4670.0,Ludington,43.95,-86.45,port
4650.0,Manistee,44.25,-86.31666699999998,port
4510.0,Cheboygan,45.65,-84.466667,port
8595.0,Canaveral Harbor,28.7,-80.616667,port
8520.0,Beaufort,32.433333,-80.666667,port
8500.0,Charleston,32.783333,-79.916667,port
8490.0,Georgetown,33.366667,-79.283333,port
8410.0,New Bern,35.1,-77.04999999999998,port
8400.0,Bayboro,35.15,-76.766667,port
8380.0,Belhaven,35.616667,-76.616667,port
8370.0,Columbia,35.916667,-76.25,port
8340.0,Edenton,36.05,-76.616667,port
4470.0,Alpena,45.066667,-83.416667,port
4450.0,Au Sable,44.4,-83.31666699999998,port
4420.0,Alabaster,44.183333,-83.54999999999998,port
4400.0,Bay City,43.6,-83.866667,port
4330.0,Marine City,42.716667,-82.5,port
4320.0,Algonac,42.616667,-82.516667,port
4250.0,Desbarats,46.333333,-83.916667,port
4240.0,Hilton,46.25,-83.88333299999998,port
4230.0,Bruce Mines,46.283333,-83.783333,port
4200.0,Blind River,46.183333,-82.95,port
4180.0,Meldrum Bay,45.933333,-83.116667,port
4170.0,Gore Bay,45.916667,-82.466667,port
4160.0,Kagawong,45.916667,-82.25,port
4140.0,Little Current,45.983333,-81.933333,port
4080.0,Killarney,45.966667,-81.516667,port
4060.0,Key Harbour,45.883333,-80.75,port
4050.0,Byng Inlet,45.766667,-80.56666699999998,port
3940.0,Midland,44.75,-79.916667,port
3900.0,Collingwood,44.5,-80.233333,port
3880.0,Meaford,44.616667,-80.59999999999998,port
3730.0,Goderich,43.75,-81.733333,port
3670.0,Courtright,42.816667,-82.466667,port
3620.0,Detroit,42.333333,-83.033333,port
3520.0,Huron,41.4,-82.54999999999998,port
3500.0,Lorain,41.466667,-82.183333,port
3470.0,Ashtabula,41.9,-80.79999999999998,port
3460.0,Conneaut,41.966667,-80.54999999999998,port
3450.0,Erie,42.15,-80.09999999999998,port
3440.0,Dunkirk,42.483333,-79.33333299999998,port
3430.0,Buffalo,42.883333,-78.88333299999998,port
3130.0,Chaumont,44.066667,-76.13333299999998,port
3050.0,Hamilton,43.25,-79.84999999999998,port
3030.0,Bronte,43.4,-79.716667,port
2930.0,Belleville,44.15,-77.4,port
2130.0,Chicoutimi (Port Saguenay),48.433333,-71.066667,port
2015.0,Baie Comeau,49.233333,-68.133333,port
1990.0,Matane,48.85,-67.533333,port
5270.0,Munising,46.416667,-86.65,port
5320.0,Baraga,46.783333,-88.483333,port
17050.0,Bay City,46.866667,-124.066667,port
18140.0,Mission City,49.146388889,-122.258611111,port
18630.0,Lyall Harbor,48.8,-123.2,port
6630.0,Machias,44.716667,-67.466667,port
3100.0,Niagara,43.25,-79.06666699999998,port
7330.0,Nantucket,41.283333,-70.1,port
2310.0,Oka Sur Le Lac,45.466667,-74.08333299999998,port
2420.0,Montebello,45.65,-74.933333,port
2510.0,Gatineau,45.483333,-75.65,port
2530.0,Hull,45.433333,-75.7,port
2960.0,Cobourg,43.95,-78.166667,port
3015.0,Clarkson,43.5,-79.59999999999998,port
3790.0,Lions Head,44.983333,-81.25,port
4150.0,Honora,45.866667,-82.166667,port
4210.0,Cockburn,45.95,-83.31666699999998,port
2380.0,Grenville,45.633333,-74.59999999999998,port
2320.0,Hudson,45.466667,-74.13333299999998,port
4490.0,Calcite,45.416667,-83.783333,port
4820.0,Great Lakes,42.3,-87.83333299999998,port
5130.0,Goulais Bay,46.733333,-84.5,port
5150.0,Gargantua,47.566667,-84.966667,port
5180.0,Heron Bay,48.65,-86.31666699999998,port
5370.0,Houghton,47.116667,-88.56666699999998,port
5380.0,Ontonagon,46.883333,-89.33333299999998,port
5430.0,Cornucopia,46.866667,-91.1,port
16808.0,Cushman,43.983333,-124.066667,port
16835.0,Depoe Bay,44.8,-124.066667,port
16838.0,Ilwaco,46.3,-124.05,port
16920.0,Kalama,46.016667,-122.85,port
17190.0,Hoodsport,47.416667,-123.133333,port
17260.0,Keyport,47.7,-122.616667,port
17350.0,Fort Ward,47.583333,-122.516667,port
17670.0,Nisqually Head,47.116667,-122.75,port
17840.0,Coupeville,48.233333,-122.683333,port
18518.0,Nanoose Harbor,49.266667,-124.15,port
18525.0,Harmac,49.133333,-123.85,port
18600.0,Ganges,48.85,-123.483333,port
6660.0,Milbridge,44.533333,-67.883333,port
7240.0,Lynn,42.45,-70.95,port
7315.0,Hyannis Port,41.633333,-70.3,port
4770.0,Buffington,41.633333,-87.416667,port
5140.0,Batchawana Bay,46.916667,-84.59999999999998,port
5310.0,L Anse,46.766667,-88.466667,port
5350.0,Copper Harbor,47.466667,-87.866667,port
5360.0,Eagle Harbor,47.466667,-88.166667,port
5420.0,La Pointe,46.783333,-90.78333300000001,port
5560.0,Dalhousie,48.066667,-66.366667,port
16805.0,Glenada,43.966667,-124.116667,port
16740.0,Empire,43.4,-124.283333,port
16750.0,North Bend,43.4,-124.216667,port
16770.0,Coos Bay,43.366667,-124.216667,port
16795.0,Gardiner,43.716667,-124.1,port
16803.0,Florence,43.966667,-124.116667,port
17170.0,Glen Cove,48.083333,-122.783333,port
17330.0,Creosote,47.616667,-122.5,port
17380.0,East Bremerton,47.566667,-122.616667,port
18580.0,Cowichan Bay,48.75,-123.616667,port
18650.0,Hope Bay,48.8,-123.283333,port
18665.0,Bamberton,48.55,-123.516667,port
6600.0,Eastport,44.9,-66.983333,port
6620.0,Machiasport,44.7,-67.4,port
2110.0,La Baie (Port Alfred),48.333333,-70.883333,port
2350.0,Carillon,45.566667,-74.366667,port
2370.0,Chute A Blondeau,45.583333,-74.466667,port
2390.0,Hawkesbury,45.616667,-74.616667,port
2400.0,Fassett,45.65,-74.866667,port
2480.0,Cumberland,45.516667,-75.4,port
2490.0,Masson,45.533333,-75.416667,port
2830.0,Millhaven,44.2,-76.733333,port
3020.0,Oakville,43.433333,-79.666667,port
3380.0,Amherstburg,42.1,-83.09999999999998,port
4020.0,Depot Harbour,45.316667,-80.09999999999998,port
4120.0,Manitowaning,45.75,-81.79999999999998,port
4370.0,Harbor Beach,43.85,-82.65,port
8330.0,Hertford,36.183333,-76.466667,port
7310.0,Hyannis,41.65,-70.283333,port
18570.0,Crofton,48.866667,-123.633333,port
8170.0,Ocean City,38.333333,-75.08333299999998,port
7510.0,Norwich,41.516667,-72.08333299999998,port
7490.0,Mystic,41.35,-71.966667,port
7480.0,Noank,41.316667,-71.983333,port
7450.0,Montauk Harbor,41.066667,-71.933333,port
3480.0,Fairport,41.766667,-81.29999999999998,port
8020.0,Atlantic City,39.366667,-74.416667,port
8120.0,Gloucester,42.6,-70.666667,port
8140.0,Burlington,40.083333,-74.866667,port
3350.0,Leamington,42.033333,-82.59999999999998,port
7440.0,Davisville Depot,41.616667,-71.4,port
8000.0,Barnegat,39.766667,-74.09999999999998,port
8270.0,Fredericksburg,38.3,-77.45,port
8150.0,Bristol,40.1,-74.84999999999998,port
16960.0,Camas,45.583333,-122.4,port
18070.0,Blaine,49.0,-122.75,port
2200.0,Port De Becancour,46.4,-72.38333299999998,port
3340.0,Pelee I West Dock,41.766667,-82.683333,port
17440.0,Port Orchard,47.533333,-122.633333,port
3610.0,Rouge River,42.283333,-83.116667,port
17120.0,Port Angeles,48.116667,-123.433333,port
2430.0,Papineauville,45.616667,-75.016667,port
6575.0,Port Bayside Nb,45.15,-67.133333,port
16950.0,Vancouver,45.633333,-122.683333,port
7270.0,Scituate,42.2,-70.716667,port
8510.0,Port Royal,32.366667,-80.683333,port
4000.0,Port Severn,44.8,-79.716667,port
2980.0,Oshawa,43.866667,-78.81666699999998,port
3330.0,Pelee I North Wharf,41.816667,-82.666667,port
3700.0,Sarnia,42.983333,-82.416667,port
2970.0,Port Hope,43.933333,-78.283333,port
2150.0,Riviere Du Loup,47.833333,-69.516667,port
18090.0,Steveston,49.133333,-123.183333,port
4480.0,Rockport,45.2,-83.38333299999998,port
3980.0,Waubaushene,44.766667,-79.716667,port
4290.0,Sault Ste Marie,46.516667,-84.34999999999998,port
5170.0,Quebec Harbour,47.7,-85.79999999999998,port
2300.0,Vaudreuil,45.4,-74.033333,port
8390.0,Washington,35.55,-77.04999999999998,port
3095.0,St Catherine,43.183333,-79.283333,port
9270.0,Port Lavaca,28.616667,-96.616667,port
